DEPARTMENT,DISTRICT,MUNICIPALITY,MALE_POP,FEMALE_POP,AGE_0_14,AGE_65,LITERATE,RURAL,URBAN,POPULATION,P.14.YOUNGER,P.65.OLDER,P.LITERATE,P.RURAL,P.MALE
Santa_Cruz,57,Portachuelo,9211,8674,5872,1160,11591,3794,14091,17885,0.328319821,0.06485882,0.964871389,0.212133072,0.51501258
Santa_Cruz,57,Colpa_Belgica,3167,2902,2197,279,3779,1494,4575,6069,0.362003625,0.04597133,0.975981405,0.246169056,0.521832262
Beni,58,Trinidad,53042,53554,34042,4679,71465,4968,101628,106596,0.319355323,0.043894705,0.98499049,0.046605876,0.497598409
Beni,58,San_Javier,3022,2255,1951,218,3253,5277,0,5277,0.369717643,0.041311351,0.978051714,1,0.572673868
Beni,59,Loreto,2058,1770,1579,159,2128,3828,0,3828,0.412486938,0.04153605,0.94619831,1,0.537617555
Beni,59,San_Andres,6846,5657,4548,540,7679,10160,2343,12503,0.363752699,0.043189634,0.96530484,0.812604975,0.547548588
Beni,59,San_Ignacio,11168,9946,8448,1056,11758,11060,10054,21114,0.400113669,0.050014209,0.928312016,0.523823056,0.528938145
Beni,59,San_Borja,21072,19792,16402,1901,22407,18678,22186,40864,0.401380188,0.046520164,0.915992151,0.457077134,0.515661707
Beni,59,Rurrenabaque,10145,9050,6860,715,11978,4749,13446,19195,0.357384736,0.037249284,0.971057965,0.247408179,0.528523053
Beni,60,Riberalta,45279,43743,32919,3539,54910,10249,78773,89022,0.369784997,0.039754218,0.97873554,0.115128845,0.508627081
